"internal_id","hierarchical_label"
"IT:ASVe:1015.050.003","Podestà di Torcello e contrade, 1284 - 1809 >> ? >> Lettere pubbliche ai podestà, 1418 - 1797"
"IT:ASVe:1015.050.006","Podestà di Torcello e contrade, 1284 - 1809 >> ? >> Atti civili, 1462 - 1776"
"IT:ASVe:1015.050.002","Podestà di Torcello e contrade, 1284 - 1809 >> ? >> Atti civili e criminali. Miscellanea, sec. XIII - sec. XIX"
"IT:ASVe:1015.050.004","Podestà di Torcello e contrade, 1284 - 1809 >> ? >> Lettere ducali al podestà, 1405 - 1797"
"IT:ASVe:1015.050.001","Podestà di Torcello e contrade, 1284 - 1809 >> ? >> Atti civili e criminali, 1284 - 1797"
"IT:ASVe:1015.050.005","Podestà di Torcello e contrade, 1284 - 1809 >> ? >> Atti e processi criminali, 1548 - 1754"
"IT:ASVe:2009.001.001.001","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> I. Cancellerie, 1830 - 1834"
"IT:ASVe:2009.001.001.002","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IV. Palazzi reali, 1830 - 1834"
"IT:ASVe:2009.001.001.003","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> V. Demanio, 1830 - 1834"
"IT:ASVe:2009.001.001.004","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VI. Diritti uniti, 1830 - 1834"
"IT:ASVe:2009.001.001.005","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VII. Debito pubblico, 1830 - 1834"
"IT:ASVe:2009.001.001.006","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VIII. Casse, 1830 - 1834"
"IT:ASVe:2009.001.001.007","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IX. Poste, 1830 - 1834"
"IT:ASVe:2009.001.001.008","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> X. Lotto, 1830 - 1834"
"IT:ASVe:2009.001.001.009","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XI. Pensioni, 1830 - 1834"
"IT:ASVe:2009.001.001.010","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XII. Registro, 1830 - 1834"
"IT:ASVe:2009.001.001.011","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIII. Quintello, 1830 - 1834"
"IT:ASVe:2009.001.001.012","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIV. Tasse giudiziarie, 1830 - 1834"
"IT:ASVe:2009.001.001.013","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XV. Tasse camerali, 1830 - 1834"
"IT:ASVe:2009.001.001.014","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVI. Bollo carta, 1830 - 1834"
"IT:ASVe:2009.001.001.015","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVII. Zecca, 1830 - 1834"
"IT:ASVe:2009.001.001.016","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVIII. Dogane, 1830 - 1834"
"IT:ASVe:2009.001.001.017","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIX. Dazio consumo, 1830 - 1834"
"IT:ASVe:2009.001.001.018","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XX. Tabacchi, 1830 - 1834"
"IT:ASVe:2009.001.001.019","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXI. Sali, 1830 - 1834"
"IT:ASVe:2009.001.001.020","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXII. Polveri e nitri, 1830 - 1834"
"IT:ASVe:2009.001.001.021","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIII. Guardia di confine, 1830 - 1834"
"IT:ASVe:2009.001.001.022","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIV. Boschi, 1830 - 1834"
"IT:ASVe:2009.001.001.023","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXV. Miniere, 1830 - 1834"
"IT:ASVe:2009.001.001.024","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXVI. Amministrazione giudiziaria, 1830 - 1834"
"IT:ASVe:2009.001.001.025","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXVII. Caccia, 1830 - 1834"
"IT:ASVe:2009.001.002.001","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> I. Casse, 1835 - 1839"
"IT:ASVe:2009.001.002.002","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> II. Registro ipoteche, 1835 - 1839"
"IT:ASVe:2009.001.002.003","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> III. Quintello, 1835 - 1839"
"IT:ASVe:2009.001.002.004","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IV. Tasse giudiziarie, 1835 - 1839"
"IT:ASVe:2009.001.002.005","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> V. Tasse camerali, 1835 - 1839"
"IT:ASVe:2009.001.002.006","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VI. Bollo carta, 1835 - 1839"
"IT:ASVe:2009.001.002.007","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VII. Caccia, 1835 - 1839"
"IT:ASVe:2009.001.002.008","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VIII. Guardia di confine, 1835 - 1839"
"IT:ASVe:2009.001.002.009","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IX. Dogane, 1835 - 1839"
"IT:ASVe:2009.001.002.010","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> X. Amministrazione ordinaria, 1835 - 1839"
"IT:ASVe:2009.001.002.011","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XI. Cancellerie, 1835 - 1839"
"IT:ASVe:2009.001.002.012","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIII. Amministrazione giudiziaria, 1835 - 1839"
"IT:ASVe:2009.001.002.013","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIV. Prestazioni militari, 1835 - 1839"
"IT:ASVe:2009.001.002.014","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XV. Pensioni, 1835 - 1839"
"IT:ASVe:2009.001.002.015","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVII. Impiegati, 1835 - 1839"
"IT:ASVe:2009.001.002.016","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVIII. Privative, 1835 - 1839"
"IT:ASVe:2009.001.002.017","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIX. Sali, 1835 - 1839"
"IT:ASVe:2009.001.002.018","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XX. Polveri, 1835 - 1839"
"IT:ASVe:2009.001.002.019","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXII. Boschi, 1835 - 1839"
"IT:ASVe:2009.001.002.020","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIII. Miniere, 1835 - 1839"
"IT:ASVe:2009.001.002.021","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIV. Poste, 1835 - 1839"
"IT:ASVe:2009.001.002.022","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXV. Diritti uniti, 1835 - 1839"
"IT:ASVe:2009.001.002.023","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXVI. Palazzi reali, 1835 - 1839"
"IT:ASVe:2009.001.003.001","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> I. Dogane, 1840 - 1844"
"IT:ASVe:2009.001.003.002","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> II. Beni, 1840 - 1844"
"IT:ASVe:2009.001.003.003","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> III. Pensioni, 1840 - 1844"
"IT:ASVe:2009.001.003.004","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IV. Cancellerie, 1840 - 1844"
"IT:ASVe:2009.001.003.005","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> V. Guardia di finanza, 1840 - 1844"
"IT:ASVe:2009.001.003.006","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VI. Amministrazione, 1840 - 1844"
"IT:ASVe:2009.001.003.007","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VII. Dazio consumo, 1840 - 1844"
"IT:ASVe:2009.001.003.008","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VIII. Privative, 1840 - 1844"
"IT:ASVe:2009.001.003.009","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IX. Diritti uniti, 1840 - 1844"
"IT:ASVe:2009.001.003.010","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> X. Zecca, 1840 - 1844"
"IT:ASVe:2009.001.003.011","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XI. Miniere, 1840 - 1844"
"IT:ASVe:2009.001.003.012","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XII. Sali, 1840 - 1844"
"IT:ASVe:2009.001.003.013","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIV. Lotto, 1840 - 1844"
"IT:ASVe:2009.001.003.014","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XV. Palazzi reali, 1840 - 1844"
"IT:ASVe:2009.001.003.015","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVII. Debito pubblico, 1840 - 1844"
"IT:ASVe:2009.001.003.016","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIX. Boschi, 1840 - 1844"
"IT:ASVe:2009.001.003.017","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXI. Tasse giudiziarie, 1840 - 1844"
"IT:ASVe:2009.001.003.018","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIII. Allegati, 1840 - 1844"
"IT:ASVe:2009.001.003.019","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIV. Bollo carta, 1840 - 1844"
"IT:ASVe:2009.001.003.020","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXV. Partita demaniale, 1840 - 1844"
"IT:ASVe:2009.001.003.021","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXVI. Casse, 1840 - 1844"
"IT:ASVe:2009.001.003.022","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> Miscellanea, 1841"
"IT:ASVe:2009.001.004.001","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> I. Cancellerie, 1845 - 1849"
"IT:ASVe:2009.001.004.002","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> II. Guardia, 1845 - 1849"
"IT:ASVe:2009.001.004.003","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> III. Boschi, 1845 - 1849"
"IT:ASVe:2009.001.004.004","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IV. Pensioni, 1845 - 1849"
"IT:ASVe:2009.001.004.005","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> V. Palazzi reali, 1845 - 1849"
"IT:ASVe:2009.001.004.006","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VI. Poste, 1845 - 1849"
"IT:ASVe:2009.001.004.007","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VII. Lotto, 1845 - 1849"
"IT:ASVe:2009.001.004.008","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> VIII. Diritti uniti, 1845 - 1849"
"IT:ASVe:2009.001.004.009","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> IX. Fisco, 1845 - 1849"
"IT:ASVe:2009.001.004.010","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> X. Dogane, 1845 - 1849"
"IT:ASVe:2009.001.004.011","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XI. Amministrazione giudiziaria, 1845 - 1849"
"IT:ASVe:2009.001.004.012","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XII. Casse, 1845 - 1849"
"IT:ASVe:2009.001.004.013","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIII. Zecca, 1845 - 1849"
"IT:ASVe:2009.001.004.014","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XIV. Miniere, 1845 - 1849"
"IT:ASVe:2009.001.004.015","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XV. Tassa registro, 1845 - 1849"
"IT:ASVe:2009.001.004.016","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVI. Bollo, 1845 - 1849"
"IT:ASVe:2009.001.004.017","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVII. Quintello, 1845 - 1849"
"IT:ASVe:2009.001.004.018","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XVIII.-XIX. Tasse, 1845 - 1849"
"IT:ASVe:2009.001.004.019","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XX. Dazio consumo, 1845 - 1849"
"IT:ASVe:2009.001.004.020","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXI. Privative, 1845 - 1849"
"IT:ASVe:2009.001.004.021","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXII. Sali, 1845 - 1849"
"IT:ASVe:2009.001.004.022","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIII. Polveri, 1845 - 1849"
"IT:ASVe:2009.001.004.023","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXIV. Debito pubblico, 1845 - 1849"
"IT:ASVe:2009.001.004.024","Magistrato camerale, 1830 - 1849 >> Atti, 1830 - 1849 >> ? >> XXV. Demanio e cassa d'amortizzazione, 1845 - 1849"
"IT:ASVe:2180.011.001.001.001","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1816, 1816"
"IT:ASVe:2180.011.001.001.002","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1817, 1817"
"IT:ASVe:2180.011.001.001.003","Delegazione provinciale, 1816 - 1866 >> Matricole dei requisiti che sono accettati dal Consiglio di leva, 1819 >> ? >> ? >> 1818, 1818"
